condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,1.440100000000e-06,1.440100e+00,2.358052185432e-05,23.580522,8.248948,0.103796923,546.498456,2.076842e+05,207.684,26.419478
T=255K,1.450100000000e-06,1.450100e+00,2.366272329411e-05,23.662723,8.220144,0.104893898,545.831570,2.076842e+05,207.684,26.337277
T=255K,1.460100000000e-06,1.460100e+00,2.374463989690e-05,23.744640,8.191660,0.105994703,545.162354,2.076842e+05,207.684,26.255360
T=255K,1.470100000000e-06,1.470100e+00,2.382627481177e-05,23.826275,8.163491,0.107099329,544.490816,2.076842e+05,207.684,26.173725
T=255K,1.480100000000e-06,1.480100e+00,2.390763113569e-05,23.907631,8.135632,0.108207765,543.816961,2.076842e+05,207.684,26.092369
T=255K,1.490100000000e-06,1.490100e+00,2.398871191472e-05,23.988712,8.108078,0.109320001,543.140797,2.076842e+05,207.684,26.011288
T=255K,1.500100000000e-06,1.500100e+00,2.406952014513e-05,24.069520,8.080823,0.110436027,542.462328,2.076842e+05,207.684,25.930480
T=255K,1.510100000000e-06,1.510100e+00,2.415005877459e-05,24.150059,8.053863,0.111555833,541.781561,2.076842e+05,207.684,25.849941
T=255K,1.520100000000e-06,1.520100e+00,2.423033070316e-05,24.230331,8.027193,0.112679410,541.098502,2.076842e+05,207.684,25.769669
T=255K,1.530100000000e-06,1.530100e+00,2.431033878445e-05,24.310339,8.000808,0.113806747,540.413157,2.076842e+05,207.684,25.689661
T=255K,1.540100000000e-06,1.540100e+00,2.439008582657e-05,24.390086,7.974704,0.114937837,539.725530,2.076842e+05,207.684,25.609914
T=255K,1.550100000000e-06,1.550100e+00,2.446957459318e-05,24.469575,7.948877,0.116072669,539.035629,2.076842e+05,207.684,25.530425
T=255K,1.560100000000e-06,1.560100e+00,2.454880780444e-05,24.548808,7.923321,0.117211236,538.343457,2.076842e+05,207.684,25.451192
T=255K,1.570100000000e-06,1.570100e+00,2.462778813797e-05,24.627788,7.898033,0.118353527,537.649021,2.076842e+05,207.684,25.372212
T=255K,1.580100000000e-06,1.580100e+00,2.470651822978e-05,24.706518,7.873009,0.119499535,536.952325,2.076842e+05,207.684,25.293482
T=255K,1.590100000000e-06,1.590100e+00,2.478500067511e-05,24.785001,7.848245,0.120649250,536.253376,2.076842e+05,207.684,25.214999
T=255K,1.600100000000e-06,1.600100e+00,2.486323802939e-05,24.863238,7.823735,0.121802665,535.552177,2.076842e+05,207.684,25.136762
T=255K,1.610100000000e-06,1.610100e+00,2.494123280902e-05,24.941233,7.799478,0.122959772,534.848734,2.076842e+05,207.684,25.058767
T=255K,1.620100000000e-06,1.620100e+00,2.501898749224e-05,25.018987,7.775468,0.124120563,534.143051,2.076842e+05,207.684,24.981013
T=255K,1.630100000000e-06,1.630100e+00,2.509650451987e-05,25.096505,7.751703,0.125285029,533.435134,2.076842e+05,207.684,24.903495
T=255K,1.640100000000e-06,1.640100e+00,2.517378629620e-05,25.173786,7.728178,0.126453163,532.724987,2.076842e+05,207.684,24.826214
T=255K,1.650100000000e-06,1.650100e+00,2.525083518964e-05,25.250835,7.704889,0.127624957,532.012615,2.076842e+05,207.684,24.749165
T=255K,1.660100000000e-06,1.660100e+00,2.532765353355e-05,25.327654,7.681834,0.128800405,531.298022,2.076842e+05,207.684,24.672346
T=255K,1.670100000000e-06,1.670100e+00,2.540424362689e-05,25.404244,7.659009,0.129979499,530.581213,2.076842e+05,207.684,24.595756
T=255K,1.680100000000e-06,1.680100e+00,2.548060773500e-05,25.480608,7.636411,0.131162231,529.862191,2.076842e+05,207.684,24.519392
T=255K,1.690100000000e-06,1.690100e+00,2.555674809023e-05,25.556748,7.614036,0.132348594,529.140962,2.076842e+05,207.684,24.443252
T=255K,1.700100000000e-06,1.700100e+00,2.563266689263e-05,25.632667,7.591880,0.133538583,528.417529,2.076842e+05,207.684,24.367333
T=255K,1.710100000000e-06,1.710100e+00,2.570836631060e-05,25.708366,7.569942,0.134732190,527.691896,2.076842e+05,207.684,24.291634
T=255K,1.720100000000e-06,1.720100e+00,2.578384848155e-05,25.783848,7.548217,0.135929408,526.964068,2.076842e+05,207.684,24.216152
T=255K,1.730100000000e-06,1.730100e+00,2.585911551246e-05,25.859116,7.526703,0.137130231,526.234048,2.076842e+05,207.684,24.140884
T=255K,1.740100000000e-06,1.740100e+00,2.593416948057e-05,25.934169,7.505397,0.138334653,525.501841,2.076842e+05,207.684,24.065831
T=255K,1.750100000000e-06,1.750100e+00,2.600901243387e-05,26.009012,7.484295,0.139542668,524.767449,2.076842e+05,207.684,23.990988
T=255K,1.760100000000e-06,1.760100e+00,2.608364639178e-05,26.083646,7.463396,0.140754268,524.030878,2.076842e+05,207.684,23.916354
T=255K,1.770100000000e-06,1.770100e+00,2.615807334562e-05,26.158073,7.442695,0.141969450,523.292129,2.076842e+05,207.684,23.841927
T=255K,1.780100000000e-06,1.780100e+00,2.623229525921e-05,26.232295,7.422191,0.143188206,522.551208,2.076842e+05,207.684,23.767705
