1259 1259 2514
387 -5.14984e-05 0.0001978 -0.000152054
388 -1.72119e-05 0.000202271 -0.000146255
389 1.70212e-05 0.000199997 -0.000140747
390 6.96182e-05 5.14832e-05 -0.000114098
391 4.97971e-05 0.000191231 -0.000135666
392 7.98035e-05 0.000176537 -0.000131126
393 0.000105949 0.000156754 -0.000127258
394 0.000127396 0.000132919 -0.000124138
395 6.49338e-05 5.71442e-05 -0.000112999
396 0.0001436 0.000106201 -0.000121857
397 -5.11475e-05 0.000196449 -0.000146255
398 -1.70212e-05 0.000199997 -0.000140747
399 5.98526e-05 6.24466e-05 -0.000112999
400 1.67618e-05 0.000196892 -0.000135666
401 4.88205e-05 0.000187477 -0.000131126
402 7.79343e-05 0.000172401 -0.000127258
403 0.000103104 0.000152542 -0.000124138
404 5.43442e-05 6.72989e-05 -0.000112999
405 0.000123589 0.000128944 -0.000121857
406 -8.36182e-05 0.000184982 -0.000146255
407 -5.05753e-05 0.000194244 -0.000140747
408 4.84848e-05 7.17316e-05 -0.000114098
409 -1.67542e-05 0.000196892 -0.000135666
410 1.64337e-05 0.000193031 -0.000131126
411 4.76761e-05 0.00018309 -0.000127258
412 7.58362e-05 0.00016777 -0.000124138
413 4.21906e-05 7.55157e-05 -0.000112999
414 0.000100014 0.000147972 -0.000121857
415 -0.000113678 0.00016819 -0.000146255
416 -8.26721e-05 0.000182899 -0.000140747
417 3.56293e-05 7.88193e-05 -0.000112999
418 -4.97894e-05 0.000191231 -0.000135666
419 -1.64261e-05 0.000193031 -0.000131126
420 1.60446e-05 0.000188515 -0.000127258
421 4.63943e-05 0.000178169 -0.000124138
422 2.88162e-05 8.15582e-05 -0.000112999
423 7.35703e-05 0.00016275 -0.000121857
424 -0.000140465 0.000146561 -0.000146255
425 -0.000112396 0.000166298 -0.000140747
426 2.17972e-05 8.37097e-05 -0.000112999
427 -8.13904e-05 0.000180061 -0.000135666
428 -4.88129e-05 0.000187477 -0.000131126
429 -1.60446e-05 0.000188515 -0.000127258
430 1.56174e-05 0.000183449 -0.000124138
431 1.46179e-05 8.52509e-05 -0.000112999
432 4.50058e-05 0.000172844 -0.000121857
433 -0.00016433 0.000121536 -0.000152054
434 -0.00018251 9.20181e-05 -0.000152054
435 7.33948e-06 8.61893e-05 -0.000112999
